season,deploy,serialno,approx_date_start,site,site_agg,stratum
2020,1,SMA00351,4/12/20,Aa014i,Aa014i,THINNED
2020,1,SMA00404,4/12/20,Aa016i,Aa016i,COMP EXCL
2020,1,SMA00403,4/11/20,Aa019i,Aa019i,MATURE
2020,1,SMA00410,4/11/20,Aa135i,Aa135i,STAND INIT
2020,1,SMA00424,4/11/20,Aa136i,Aa136i,STAND INIT
2020,1,SMA00389,4/11/20,Aa137i,Aa137i,MATURE
2020,1,SMA00380,4/11/20,Aa138i,Aa138i,MATURE
2020,1,SMA00349,4/11/20,Aa139i,Aa139i,MATURE
2020,1,SMA00346,4/11/20,Aa140i,Aa140i,COMP EXCL
2020,1,SMA00395,4/11/20,Aa141i,Aa141i,THINNED
2020,1,S4A04271,4/12/20,Aa142i,Aa142i,COMP EXCL
2020,1,SMA00339,4/10/20,Ap022i,Ap022i,THINNED
2020,1,SMA00399,4/9/20,Ap028i,Ap028i,COMP EXCL
2020,1,SMA00310,4/9/20,Ap029i,Ap309i,THINNED
2020,1,SMA00309,4/9/20,Ap031i,Ap031i,THINNED
2020,1,SMA00370,4/9/20,Ap032i,Ap308i,MATURE
2020,1,SMA00556,4/9/20,Ap033i,Ap033i,MATURE
2020,1,SMA00486,4/9/20,Ap035i,Ap035i,STAND INIT
2020,1,SMA00551,4/9/20,Ap036i,Ap036i,STAND INIT
2020,1,SMA00518,4/9/20,Ap037i,Ap037i,STAND INIT
2020,1,SMA00393,4/10/20,Ap038i,Ap038i,MATURE
2020,1,SMA00367,4/9/20,Ap103i,Ap309i,THINNED
2020,1,SMA00507,4/10/20,Ap131i,Ap131i,COMP EXCL
2020,1,SMA00359,4/10/20,Ap132i,Ap132i,COMP EXCL
2020,1,SMA00396,4/10/20,Ap133i,Ap133i,MATURE
2020,1,SMA00316,4/10/20,Ap134i,Ap134i,COMP EXCL
2020,2,SMA00410,4/24/20,Aa154i,Aa154i,THINNED
2020,2,SMA00395,4/24/20,Ap158i,Ap158i,STAND INIT
2020,2,SMA00349,4/24/20,Ap161i,Ap161i,STAND INIT
2020,2,SMA00310,4/22/20,Az023i,Az023i,THINNED
2020,2,SMA00507,4/22/20,Az024i,Az024i,THINNED
2020,2,SMA00309,4/22/20,Az025i,Az025i,THINNED
2020,2,SMA00370,4/22/20,Az030i,Az030i,THINNED
2020,2,S4A04271,4/24/20,Az041i,Az041i,THINNED
2020,2,SMA00346,4/24/20,Az048i,Az048i,MATURE
2020,2,SMA00316,4/24/20,Az050i,Az050i,MATURE
2020,2,SMA00380,4/24/20,Az051i,Az005e,COMP EXCL
2020,2,SMA00424,4/23/20,Az153i,Az006e,COMP EXCL
2020,2,SMA00396,4/23/20,Az155i,Az155i,COMP EXCL
2020,2,SMA00351,4/24/20,Az156i,Az156i,MATURE
2020,2,SMA00389,4/24/20,Az159i,Az159i,MATURE
2020,2,SMA00367,4/22/20,Az160i,Az160i,COMP EXCL
2020,2,SMA00551,4/23/20,Cz042i,Cz029c,COMP EXCL
2020,2,SMA00518,4/23/20,Cz043i,Cz043i,MATURE
2020,2,SMA00339,4/23/20,Cz045i,Cz031c,COMP EXCL
2020,2,SMA00556,4/23/20,Cz046i,Cz033c,COMP EXCL
2020,2,SMA00403,4/24/20,Ap157i,Ap157i,THINNED
2020,2,SMA00486,4/23/20,Cz047i,Cz047i,MATURE
2020,2,SMA00359,4/23/20,Cz150i,Cz150i,MATURE
2020,2,SMA00393,4/23/20,Cz151i,Cz151i,MATURE
2020,2,SMA00399,4/23/20,Cz152i,Cz027e,COMP EXCL
2020,3,SMA00349,5/6/20,Aa143i,Aa143i,COMP EXCL
2020,3,S4A04271,5/6/20,Aa144i,Aa144i,THINNED
2020,3,SMA00404,5/6/20,Aa145i,Aa145i,THINNED
2020,3,SMA00393,5/8/20,Ap157i,Ap157i,THINNED
2020,3,SMA00346,5/7/20,Da168i,Da168i,COMP EXCL
2020,3,SMA00403,5/7/20,Da169i,Da169i,COMP EXCL
2020,3,SMA00316,5/8/20,Da172i,Da172i,COMP EXCL
2020,3,SMA00367,5/8/20,Da173i,Da173i,COMP EXCL
2020,3,SMA00339,5/7/20,Dc055i,Dc055i,COMP EXCL
2020,3,SMA00507,5/8/20,Dc057i,Dc057i,COMP EXCL
2020,3,SMA00410,5/7/20,Dc171i,Dc171i,COMP EXCL
2020,3,SMA00370,5/8/20,Dc174i,Dc174i,MATURE
2020,3,SMA00424,5/8/20,Dc175i,Dc175i,MATURE
2020,3,SMA00351,5/8/20,Dc176i,Dc176i,MATURE
2020,3,SMA00380,5/8/20,Dc177i,Dc177i,MATURE
2020,3,SMA00389,5/8/20,Dc178i,Dc178i,COMP EXCL
2020,3,SMA00399,5/8/20,Dc179i,Dc179i,THINNED
2020,3,SMA00395,5/6/20,Dp020i,Dp036c,COMP EXCL
2020,3,SMA00309,5/6/20,Dp021i,Dp021i,MATURE
2020,3,SMA00486,5/6/20,Dp162i,Dp162i,MATURE
2020,3,SMA00310,5/6/20,Dp163i,Dp163i,MATURE
2020,3,SMA00518,5/6/20,Dp164i,Dp164i,COMP EXCL
2020,3,SMA00551,5/6/20,Dp165i,Dp165i,COMP EXCL
2020,3,SMA00359,5/6/20,Dp166i,Dp166i,COMP EXCL
2020,3,SMA00556,5/6/20,Dp167i,Dp034c,COMP EXCL
2020,3,SMA00396,5/7/20,Dp170i,Dp170i,MATURE
2020,4,SMA00310,5/23/20,Bc001i,Bc001i,MATURE
2020,4,SMA00389,5/23/20,Bc002i,Bc002i,MATURE
2020,4,SMA00410,5/23/20,Bc003i,Bc003i,COMP EXCL
2020,4,SMA00486,5/23/20,Bc005i,Bc005i,MATURE
2020,4,SMA00551,5/24/20,Bc006i,Bc006i,STAND INIT
2020,4,SMA00359,5/24/20,Bc007i,Bc007i,THINNED
2020,4,SMA00518,5/24/20,Bc008i,Bc008i,THINNED
2020,4,SMA00316,5/23/20,Bc186i,Bc186i,COMP EXCL
2020,4,SMA00403,5/23/20,Bc187i,Bc187i,COMP EXCL
2020,4,SMA00370,5/23/20,Bc188i,Bc188i,COMP EXCL
2020,4,SMA00380,5/23/20,Bc189i,Bc189i,MATURE
2020,4,S4A04271,5/23/20,Bc190i,Bc190i,STAND INIT
2020,4,SMA00556,5/24/20,Bc191i,Bc191i,THINNED
2020,4,SMA00404,5/24/20,Bc192i,Bc192i,THINNED
2020,4,SMA00339,5/22/20,Dz075i,Dz075i,MATURE
2020,4,SMA00351,5/22/20,Dz076i,Dz076i,COMP EXCL
2020,4,SMA00395,5/21/20,Dz077i,Dz077i,MATURE
2020,4,SMA00393,5/22/20,Dz083i,Dz083i,THINNED
2020,4,SMA00507,5/22/20,Dz084i,Dz084i,STAND INIT
2020,4,SMA00349,5/21/20,Dz180i,Dz180i,COMP EXCL
2020,4,SMA00424,5/21/20,Dz181i,Dz181i,STAND INIT
2020,4,SMA00309,5/21/20,Dz182i,Dz037c,COMP EXCL
2020,4,SMA00396,5/21/20,Dz183i,Dz183i,MATURE
2020,4,SMA00367,5/22/20,Dz184i,Dz184i,THINNED
2020,4,SMA00346,5/22/20,Dz185i,Dz185i,MATURE
2020,5,SM2-016395,6/3/20,Az200i,Az200i,COMP EXCL
2020,5,SM2-016989,6/3/20,Az202i,Az010e,COMP EXCL
2020,5,SM2-017059,6/3/20,Az204i,Az014e,COMP EXCL
2020,5,SMA00396,6/3/20,Ba193i,Ba193i,THINNED
2020,5,SMA00349,6/3/20,Ba194i,Ba194i,STAND INIT
2020,5,SMA00309,6/3/20,Ba195i,Ba195i,THINNED
2020,5,SMA00367,6/3/20,Ba196i,Ba196i,MATURE
2020,5,SMA00393,6/3/20,Ba197i,Ba197i,THINNED
2020,5,S4A04325,6/3/20,Ba198i,Ba198i,MATURE
2020,5,SMA00399,6/3/20,Ba199i,Ba199i,STAND INIT
2020,5,SMA00507,6/3/20,Ba201i,Ba201i,STAND INIT
2020,5,SMA00395,6/3/20,Ba203i,Ba203i,STAND INIT
2020,5,SMA00424,6/3/20,Ba205i,Ba205i,STAND INIT
2020,5,SMA00339,6/4/20,Ba206i,Ba206i,COMP EXCL
2020,5,SMA00351,6/4/20,Ba207i,Ba207i,MATURE
2020,5,SMA00389,6/4/20,Ba208i,Ba208i,COMP EXCL
2020,5,SMA00370,6/4/20,Ba209i,Ba209i,THINNED
2020,5,SMA00403,6/4/20,Ba210i,Ba210i,COMP EXCL
2020,5,SMA00486,6/4/20,Ba211i,Ba211i,MATURE
2020,5,SMA00316,6/4/20,Ba212i,Ba212i,STAND INIT
2020,5,SMA00380,6/4/20,Ba213i,Ba213i,THINNED
2020,5,SMA00404,6/5/20,Bz084i,Bz020c,THINNED
2020,5,SMA00310,6/4/20,Bz214i,Bz214i,THINNED
2020,5,SMA00410,6/4/20,Bz215i,Bz215i,THINNED
2020,5,SMA00551,6/5/20,Bz216i,Bz216i,MATURE
2020,5,SMA00346,6/4/20,Bz217i,Bz217i,THINNED
2020,5,SMA00556,6/5/20,Bz218i,Bz218i,MATURE
2020,5,SMA00518,6/5/20,Bz219i,Bz219i,MATURE
2020,5,SMA00359,6/5/20,Bz220i,Bz220i,MATURE
2020,5,S4A04271,6/5/20,Bz221i,Bz221i,STAND INIT
2020,6,SMA00410,6/18/20,Bp086i,Bp015c,COMP EXCL
2020,6,SMA00370,6/18/20,Bp230i,Bp230i,MATURE
2020,6,SMA00393,6/18/20,Bp231i,Bp231i,STAND INIT
2020,6,SMA00404,6/18/20,Bp232i,Bp232i,STAND INIT
2020,6,SMA00395,6/18/20,Bp233i,Bp233i,STAND INIT
2020,6,SMA00551,6/18/20,Bp234i,Bp016c,COMP EXCL
2020,6,SMA00309,6/18/20,Bp235i,Bp018c,COMP EXCL
2020,6,SMA00556,6/18/20,Bp236i,Bp236i,COMP EXCL
2020,6,SMA00518,6/18/20,Bp237i,Bp237i,COMP EXCL
2020,6,SMA00349,6/19/20,Bp238i,Bp238i,THINNED
2020,6,SMA00316,6/19/20,Bp239i,Bp239i,THINNED
2020,6,SMA00389,6/19/20,Bp240i,Bp240i,THINNED
2020,6,SMA00310,6/19/20,Bp241i,Bp241i,THINNED
2020,6,SMA00346,6/17/20,Cp222i,Cp222i,THINNED
2020,6,SMA00351,6/17/20,Cp223i,Cp223i,THINNED
2020,6,SMA00359,6/17/20,Cp224i,Cp224i,MATURE
2020,6,SMA00486,6/17/20,Cp225i,Cp225i,THINNED
2020,6,SMA00339,6/17/20,Cp226i,Cp226i,COMP EXCL
2020,6,SMA00403,6/17/20,Cp227i,Cp227i,THINNED
2020,6,SMA00396,6/17/20,Cp228i,Cp228i,MATURE
2020,6,SMA00367,6/17/20,Cp229i,Cp229i,MATURE
2020,6,SMA00380,6/19/20,Cp242i,Cp242i,COMP EXCL
2020,6,SMA00424,6/19/20,Cp243i,Cp243i,COMP EXCL
2020,6,SMA00507,6/19/20,Cp244i,Cp244i,COMP EXCL
2020,6,SMA00399,6/19/20,Cp245i,Cp245i,MATURE
2020,7,SMA00309,7/2/20,Ac264i,Ac264i,THINNED
2020,7,SMA00389,7/2/20,Ac265i,Ac265i,THINNED
