"Region","BCR","Sort","Common Name","Scientific Name","Group","Mig Status","Breeds","%pop-b","AI-b","AI-b#","AI-b S","%pop-w","AI-w","AI-w#","AI-w S","%use-m","AI-m","AI-m S","%use-s","AI-s","AI-s S","%use-f","AI-f","AI-f S","TB-r","TB-r S","TB-r Com","TN-r","TN-r S","TN-r Com","PT-r","PT-r S","PT-r Com","Trend Source","LT % Change","LT Trend (%/yr)","LT Trend 90% Lcl","LT Trend 90% Ucl","LT Sig","ST % Change","ST Trend (%/yr)","ST Trend 90% Lcl","ST Trend 90% Ucl","ST Sig","ST Years","Core/extended","LT CI Width","N","RA","NxRA","Coverage","PS-g","BD-g","ND-g","RCS-b","RCS-w","Regional Importance","RI Season","CIR Watch List - Season","CIR CBSD-c","CBSD-r","RC","RS","Action Code"
"Northern Pacific Rainforest","5","12","Snow Goose","Anser caerulescens","waterfowl","M","","0.0008104143","","","","0.2485072464","1","1","eMod21","","","","","","","","","","","","","2","TrUST 2016; PIFSC-CVS 2022","PIFSC-24: defaulted to TN-c since migrant","1","CAFF7016, CBC7019-JS","PIFSC-24: defaulted to PT-c","","","","","","","","","","","","","","","","","","","2","3","2","","8","","","","","","","",""
"Northern Pacific Rainforest","5","20","Brant","Branta bernicla","waterfowl","M","","0.0020300001","","","","1.1107877493","2","2","eMod21","","","","","","","","","","","","","3","TrUST 2016; PIFSC-CVS 2022","PIFSC-24: defaulted to TN-c since migrant","2","CBC7019-JS","PIFSC-24: defaulted to PT-c","","","","","","","","","","","","","","","","","","","4","2","4","","15","","","","","","","",""
"Northern Pacific Rainforest","5","22","Cackling Goose","Branta hutchinsii","waterfowl","M","","0.00121716","","","","31.2850170135","5","5","eMod21","","","","","","","","","","","","","2","TrUST 2016; PIFSC-CVS 2022","PIFSC-24: defaulted to TN-c since migrant","3","unreliable trend (CAFF7516)","PIFSC-24: defaulted to PT-c","","","","","","","","","","","","","","","","","","","3","2","1","","14","Regional Stewardship","w","","","","","w","PR"
"Northern Pacific Rainforest","5","23","Canada Goose","Branta canadensis","waterfowl","M","1","0.461761862","1","1","eMod21","0.7807631493","1","1","eMod21","","","","","","","","","","1","TrUST 2016","","2","TrUST 2016; PIFSC-CVS 2022","PIFSC-24: defaulted to TN-c since migrant","1","BBS7021-AS,JS","","BBS7021-AS,JS","1430.3087158203","5.4924659729","2.5954959393","9.1000003815","1","72.9306793213","1.9778584242","-0.7480000257","4.9008970261","","28","1","6.5045042038","116.5","6.6305","772.45325","0.961","2","1","1","6","7","","","","","","","",""
"Northern Pacific Rainforest","5","25","Mute Swan","Cygnus olor","waterfowl","M","1","0.00103","1","1","eBird17; eMod21","0.0034399999","","","","","","","","","","","","","2","TrUST 2016; PIFSC-CVS 2022","Shaw-22: based on earlier comment referencing TB-c, updated TB-r to new TB-c.  not scored, no old TB-r to default to, so defaulted to TB-c","","","","3","insufficient data","PIFSC-23: unreliable BBS trend","BBS7021-AS,JS","874.8002929688","4.5708055496","-1.6521990299","11","","78.2207717896","2.0106775761","-4.3115019798","10.5515956879","","29","1","12.6521987915","3","0.01865","0.05595","0.385","4","1","1","11","","","","","","","","",""
"Northern Pacific Rainforest","5","26","Trumpeter Swan","Cygnus buccinator","waterfowl","M","1","1.1262159348","2","2","eMod21","13.666267395","4","4","eMod21","","","","","","","","","","3","Matsuoka","","3","TrUST 2016; PIFSC-CVS 2022","PIFSC-24: defaulted to TN-c since migrant","1","BBS7021-AS, BBS9321-JS","","BBS7021-AS, BBS9321-JS","266.602935791","3.1605014801","-0.7157980204","8.2399997711","","141.2577972412","3.1952867508","-1.1599999666","9.3599996567","","28","1","8.9557981491","10.5","0.3635","3.81675","0.731","4","2","3","12","15","","","","","","","",""
"Northern Pacific Rainforest","5","27","Tundra Swan","Cygnus columbianus","waterfowl","M","","0.000273","","","","1.4512577057","2","2","eMod21","","","","","","","","","","","","","2","TrUST 2016; PIFSC-CVS 2022","PIFSC-24: defaulted to TN-c since migrant","2","CBC7019-TM,JS","PIFSC-24: defaulted to PT-c","","","","","","","","","","","","","","","","","","","4","2","2","","12","","","","","","","",""
"Northern Pacific Rainforest","5","35","Wood Duck","Aix sponsa","waterfowl","M","1","0.5163860321","1","1","eMod21","1.4268689156","2","2","eMod21","","","","","","","","","","2","TrUST 2016","","2","TrUST 2016; PIFSC-CVS 2022","PIFSC-24: defaulted to TN-c since migrant","3","BBS7021-AS,JS","","BBS7021-AS,JS","-41.9357299805","-1.0601396561","-2.5403978825","0.9940000176","","-15.5857410431","-1.4004495144","-4.4400000572","1.6757010221","","12","1","3.5343980789","70","0.198","13.86","1","3","1","1","10","11","","","","","","","",""
"Northern Pacific Rainforest","5","38","Blue-winged Teal","Spatula discors","waterfowl","M","1","0.0328867398","1","1","bbs14; eMod21","","","","","","","","","","","","","","2","Easton 2018, BC BBA","Benefitted from wetland conservation management and no overall conservation concerns.","","","","4","BBS7021-AS,JS","","BBS7021-AS,JS","-66.0924453735","-2.100063324","-4.8600001335","0.8293989897","","-6.0028839111","-0.5147432685","-8.060300827","8.5989952087","","12","1","5.6893987656","18","0.0263","0.4734","1","2","1","1","10","","","","","","","","",""
"Northern Pacific Rainforest","5","39","Cinnamon Teal","Spatula cyanoptera","waterfowl","M","1","0.106091179","1","1","eMod21","0.243330285","1","1","eMod21","","","","","","","","","","3","TrUST 2016","","3","TrUST 2016; PIFSC-CVS 2022","PIFSC-24: defaulted to TN-c since migrant","2","BBS7021-AS,JS","","BBS7021-AS,JS","-26.3896579742","-0.5991002917","-2.1700000763","1.1723999977","","0.7614268064","0.0763261169","-5.08670187","5.4721951485","","10","1","3.342400074","21","0.06795","1.42695","0.965","4","1","1","11","11","","","","","","","",""
