common_name,habitat_1,habitat_2,habitat_3,habitat_4,range,foraging_guild_cornell,nesting_guild_cornell,nesting_guild_cornell_ps,conservation_cornell,association_phalan,home_range_radius_m
American Bittern,Woody and Herbaceous Wetlands,Marsh,,,Breeding,stalking,ground,ground,lc,,
American Coot,Open Water,,,,Year-Round,surface dive,floating,floating,lc,,
American Crow,Medium Intensity Urban,High Intensity Developed,Low Intensity Developed,Open Space Developed,Year-Round,ground forager,tree,tree,lc,,
American Dipper,Riparian,,,,Year-Round,surface dive,cliff,cliff,lc,,
American Goldfinch,Grasslands,Forest,,,Year-Round,foliage gleaner,shrub,shrub,lc,,442
American Kestrel,Grasslands,Low Intensity Developed,Woodland,,Year-Round,aerial dive,cavity,cavity_secondary,lc,,
American Pipit,Grasslands,,,,Breeding,ground forager,ground,ground,cbsd,,
American Robin,Riparian,Medium Intensity Urban,Forest,Grasslands,Year-Round,ground forager,tree,tree,lc,,402
American Wigeon,Open Water,,,,Non-breeding,dabbler,ground,ground,lc,,
Anna's Hummingbird,Low Intensity Developed,Medium Intensity Urban,Woodland,Grasslands,Year-Round,hovering,tree,tree,lc,,
Ash-throated Flycatcher,,,,,,flycatching,cavity,cavity_secondary,lc,,
Bald Eagle,Riparian,Low Intensity Developed,Forest,,Year-Round,soaring,tree,tree,lc,,6437
Band-tailed Pigeon,Forest,,,,Breeding,foliage gleaner,tree,tree,lc,,
Barn Owl,Grasslands,Open Space Developed,Marsh,,Year-Round,aerial dive,building,building,lc,,
Barn Swallow,Riparian,Open Space Developed,Woody and Herbaceous Wetlands,,Breeding,aerial forager,cliff,cliff,lc,,
Barred Owl,Forest,,,,Year-Round,aerial dive,tree,tree,lc,,980
Belted Kingfisher,Riparian,Open Water,,,Year-Round,aerial dive,burrow,burrow,lc,,
Bewick's Wren,Riparian,Forest,Grasslands,,Year-Round,foliage gleaner,cavity,cavity_secondary,lc,,
Black Phoebe,,,,,,flycatching,cliff,cliff,lc,,
Black-capped Chickadee,Woodland,Low Intensity Developed,,,Year-Round,foliage gleaner,cavity,cavity_primary,lc,,
Black-headed Grosbeak,Riparian,Forest,,,Breeding,foliage gleaner,tree,tree,lc,,75
Black-throated Gray Warbler,Evergreen Forest,Low Intensity Developed,,,Breeding,foliage gleaner,tree,tree,lc,early seral,
Blue Grosbeak,,,,,,foliage gleaner,shrub,shrub,lc,,
Blue-winged Teal,Open Water,Woody and Herbaceous Wetlands,Marsh,,Breeding,dabbler,ground,ground,lc,,
Brewer's Blackbird,Grasslands,Medium Intensity Urban,Low Intensity Developed,,Year-Round,ground forager,shrub,shrub,cbsd,,
