Label	Weight_Source	Weight_Target
Corvus brachyrhynchos_American Crow	0.5	0.5
Cinclus mexicanus_American Dipper	0.5	0.5
Spinus tristis_American Goldfinch	0.5	0.5
Falco sparverius_American Kestrel	0.5	0.5
Turdus migratorius_American Robin	0.5	0.5
Calypte anna_Anna's Hummingbird	0.5	0.5
Haliaeetus leucocephalus_Bald Eagle	0.5	0.5
Patagioenas fasciata_Band-tailed Pigeon	0.5	0.5
Tyto alba_Barn Owl	0.5	0.5
Hirundo rustica_Barn Swallow	0.5	0.5
Strix varia_Barred Owl	0.5	0.5
Megaceryle alcyon_Belted Kingfisher	0.5	0.5
Thryomanes bewickii_Bewick's Wren	0.5	0.5
Cypseloides niger_Black Swift	0.5	0.5
Poecile atricapillus_Black-capped Chickadee	0.5	0.5
Pheucticus melanocephalus_Black-headed Grosbeak	0.5	0.5
Setophaga nigrescens_Black-throated Gray Warbler	0.5	0.5
Certhia americana_Brown Creeper	0.5	0.5
Molothrus ater_Brown-headed Cowbird	0.5	0.5
Perisoreus canadensis_Canada Jay	0.5	0.5
Vireo cassinii_Cassin's Vireo	0.5	0.5
Bombycilla cedrorum_Cedar Waxwing	0.5	0.5
Poecile rufescens_Chestnut-backed Chickadee	0.5	0.5
Spizella passerina_Chipping Sparrow	0.5	0.5
Nucifraga columbiana_Clark's Nutcracker	0.5	0.5
Petrochelidon pyrrhonota_Cliff Swallow	0.5	0.5
Mergus merganser_Common Merganser	0.5	0.5
Chordeiles minor_Common Nighthawk	0.5	0.5
Corvus corax_Common Raven	0.5	0.5
Geothlypis trichas_Common Yellowthroat	0.5	0.5
Accipiter cooperii_Cooper's Hawk	0.5	0.5
Junco hyemalis_Dark-eyed Junco	0.5	0.5
Dryobates pubescens_Downy Woodpecker	0.5	0.5
Streptopelia decaocto_Eurasian Collared-Dove	0.5	0.5
Sturnus vulgaris_European Starling	0.5	0.5
Coccothraustes vespertinus_Evening Grosbeak	0.5	0.5
Passerella iliaca_Fox Sparrow	0.5	0.5
Aquila chrysaetos_Golden Eagle	0.5	0.5
Regulus satrapa_Golden-crowned Kinglet	0.5	0.5
Zonotrichia atricapilla_Golden-crowned Sparrow	0.5	0.5
Bubo virginianus_Great Horned Owl	0.5	0.5
Dryobates villosus_Hairy Woodpecker	0.5	0.5
Empidonax hammondii_Hammond's Flycatcher	0.5	0.5
Catharus guttatus_Hermit Thrush	0.5	0.5
Setophaga occidentalis_Hermit Warbler	0.5	0.5
Eremophila alpestris_Horned Lark	0.5	0.5
Haemorhous mexicanus_House Finch	0.5	0.5
Passer domesticus_House Sparrow	0.5	0.5
Troglodytes aedon_House Wren	0.5	0.5
Vireo huttoni_Hutton's Vireo	0.5	0.5
Melospiza lincolnii_Lincoln's Sparrow	0.5	0.5
Geothlypis tolmiei_MacGillivray's Warbler	0.5	0.5
Brachyramphus marmoratus_Marbled Murrelet	0.5	0.5
Falco columbarius_Merlin	0.5	0.5
Zenaida macroura_Mourning Dove	0.5	0.5
Colaptes auratus_Northern Flicker	0.5	0.5
Accipiter gentilis_Northern Goshawk	0.5	0.5
Mimus polyglottos_Northern Mockingbird	0.5	0.5
Glaucidium gnoma_Northern Pygmy-Owl	0.5	0.5
Stelgidopteryx serripennis_Northern Rough-winged Swallow	0.5	0.5
Aegolius acadicus_Northern Saw-whet Owl	0.5	0.5
Contopus cooperi_Olive-sided Flycatcher	0.5	0.5
Leiothlypis celata_Orange-crowned Warbler	0.5	0.5
Pandion haliaetus_Osprey	0.5	0.5
Troglodytes pacificus_Pacific Wren	0.5	0.5
Empidonax difficilis_Pacific-slope Flycatcher	0.5	0.5
Falco peregrinus_Peregrine Falcon	0.5	0.5
Dryocopus pileatus_Pileated Woodpecker	0.5	0.5
Pinicola enucleator_Pine Grosbeak	0.5	0.5
Spinus pinus_Pine Siskin	0.5	0.5
Haemorhous purpureus_Purple Finch	0.5	0.5
Loxia curvirostra_Red Crossbill	0.5	0.5
Sitta canadensis_Red-breasted Nuthatch	0.5	0.5
Sphyrapicus ruber_Red-breasted Sapsucker	0.5	0.5
Vireo olivaceus_Red-eyed Vireo	0.5	0.5
Buteo jamaicensis_Red-tailed Hawk	0.5	0.5
Agelaius phoeniceus_Red-winged Blackbird	0.5	0.5
Corthylio calendula_Ruby-crowned Kinglet	0.5	0.5
Bonasa umbellus_Ruffed Grouse	0.5	0.5
Selasphorus rufus_Rufous Hummingbird	0.5	0.5
Passerculus sandwichensis_Savannah Sparrow	0.5	0.5
Accipiter striatus_Sharp-shinned Hawk	0.5	0.5
Asio flammeus_Short-eared Owl	0.5	0.5
Melospiza melodia_Song Sparrow	0.5	0.5
Dendragapus fuliginosus_Sooty Grouse	0.5	0.5
Strix occidentalis_Spotted Owl	0.5	0.5
Pipilo maculatus_Spotted Towhee	0.5	0.5
Cyanocitta stelleri_Steller's Jay	0.5	0.5
Catharus ustulatus_Swainson's Thrush	0.5	0.5
Myadestes townsendi_Townsend's Solitaire	0.5	0.5
Setophaga townsendi_Townsend's Warbler	0.5	0.5
Tachycineta bicolor_Tree Swallow	0.5	0.5
Cathartes aura_Turkey Vulture	0.5	0.5
Ixoreus naevius_Varied Thrush	0.5	0.5
Chaetura vauxi_Vaux's Swift	0.5	0.5
Tachycineta thalassina_Violet-green Swallow	0.5	0.5
Vireo gilvus_Warbling Vireo	0.5	0.5
Sialia mexicana_Western Bluebird	0.5	0.5
Megascops kennicottii_Western Screech-Owl	0.5	0.5
Piranga ludoviciana_Western Tanager	0.5	0.5
Contopus sordidulus_Western Wood-Pewee	0.5	0.5
Zonotrichia leucophrys_White-crowned Sparrow	0.5	0.5
Zonotrichia albicollis_White-throated Sparrow	0.5	0.5
Empidonax traillii_Willow Flycatcher	0.5	0.5
Cardellina pusilla_Wilson's Warbler	0.5	0.5
Setophaga petechia_Yellow Warbler	0.5	0.5
Setophaga coronata_Yellow-rumped Warbler	0.5	0.5
